date,origin,destination,currency_code,minimum_price,first_quartile_price,median_price,third_quartile_price,maximum_price,EURMXN=X_Close,EURTRY=X_Close,EURUSD=X_Close
2019-02-02,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,,,
2019-02-03,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,,,
2019-02-04,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.876300811767578,5.9699602127075195,1.1455278396606445
2019-02-05,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.849000930786133,5.962309837341309,1.1436283588409424
2019-02-06,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.717500686645508,5.928760051727295,1.140992522239685
2019-02-07,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.71919059753418,5.94120979309082,1.1365960836410522
2019-02-08,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.626300811767578,5.975769996643066,1.1338768005371094
2019-02-09,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,,,
2019-02-10,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,,,
2019-02-11,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.597400665283203,5.944079875946045,1.1324259042739868
2019-02-12,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.766700744628906,5.9475998878479,1.1279042959213257
2019-02-13,,,,,,,,,21.810199737548828,5.951479911804199,1.1334655284881592
2019-02-14,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.875,5.954500198364258,1.12649405002594
2019-02-15,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.75149917602539,5.955939769744873,1.1295350790023804
2019-02-16,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,,,
2019-02-17,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,,,
2019-02-18,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.756000518798828,5.965549945831299,1.1298030614852905
2019-02-19,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.778799057006836,5.989850044250488,1.131196141242981
2019-02-20,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.71933937072754,5.994100093841553,1.1343011856079102
2019-02-21,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.80389976501465,6.039269924163818,1.1346358060836792
2019-02-22,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.868600845336914,6.031310081481934,1.1343011856079102
2019-02-23,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,,,
2019-02-24,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,,,
2019-02-25,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.707599639892578,6.0318098068237305,1.1342240571975708
2019-02-26,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.743200302124023,6.026370048522949,1.1367511749267578
2019-02-27,MAD,IST,USD,90.9,419.92,433.56,457.06,540.76,21.857040405273438,6.0387701988220215,1.1393154859542847
2019-02-28,,,,,,,,,21.80820083618164,6.041800022125244,1.1380189657211304
2019-03-01,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.9197998046875,6.074240207672119,1.1373459100723267
2019-03-02,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,,,
2019-03-03,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,,,
2019-03-04,,,,,,,,,21.927000045776367,6.108870029449463,1.1375917196273804
2019-03-05,,,,,,,,,21.87220001220703,6.107029914855957,1.1337354183197021
2019-03-06,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.772050857543945,6.087130069732666,1.1307101249694824
2019-03-07,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.902599334716797,6.144969940185547,1.1314009428024292
2019-03-08,,,,,,,,,21.907100677490234,6.111460208892822,1.1198333501815796
2019-03-09,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,,,
2019-03-10,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,,,
2019-03-11,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.895599365234375,6.101319789886475,1.1232421398162842
2019-03-12,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.83169937133789,6.116950035095215,1.1259232759475708
2019-03-13,,,,,,,,,21.83060073852539,6.155640125274658,1.1287446022033691
2019-03-14,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.859130859375,6.196509838104248,1.133105993270874
2019-03-15,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.837099075317383,6.181990146636963,1.1308379173278809
2019-03-16,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,,,
2019-03-17,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,,,
2019-03-18,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.74959945678711,6.165780067443848,1.1319772005081177
2019-03-19,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.60140037536621,6.196119785308838,1.133619785308838
2019-03-20,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.579500198364258,6.2140398025512695,1.135486125946045
2019-03-21,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.495100021362305,6.200290203094482,1.1427918672561646
2019-03-22,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.452999114990234,6.215129852294922,1.1375011205673218
2019-03-23,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,,,
2019-03-24,,,,,,,,,,,
2019-03-25,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.592599868774414,6.412129878997803,1.129586100578308
2019-03-26,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.528499603271484,6.2906599044799805,1.131580114364624
2019-03-27,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.533000946044922,6.046870231628418,1.127484679222107
2019-03-28,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.786500930786133,6.030910015106201,1.1251758337020874
2019-03-29,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,21.735700607299805,6.253699779510498,1.1230024099349976
2019-03-30,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,,,
2019-03-31,MAD,IST,USD,90.9,425.85,472.11,478.89,550.23,,,
2019-04-01,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.706100463867188,6.2763800621032715,1.1223849058151245
2019-04-02,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.48040008544922,6.15841007232666,1.1205737590789795
2019-04-03,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.54128074645996,6.292200088500977,1.1203854084014893
2019-04-04,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.608699798583984,6.319240093231201,1.1246949434280396
2019-04-05,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.500699996948242,6.287189960479736,1.1225864887237549
2019-04-06,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,,,
2019-04-07,,,,,,,,,,,
2019-04-08,,,,,,,,,21.394699096679688,6.315529823303223,1.121956706047058
2019-04-09,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.36720085144043,6.402740001678467,1.1256444454193115
2019-04-10,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.30769920349121,6.399740219116211,1.126697063446045
